Name,SurName,Title,Password,Groups
Jack,Johnson,CEO,Raegh1eeWei,"Employees,Logistics,Accounting"
Jeff,Price,CTO,ooth3iNai,"Employees,Logistics,Domain Admins,Accounting"
Kathryn,Hernandez,CAO,ahF4oo0ch,"Employees,Accounting"
Beverly,McMinn,Accountant,pohquoo2N,"Employees,Accounting"
Beverly,Salgado,"Head Human Resources",aip6aPai0p,"Employees,HR"
Bobby,Campbell,"Human Resources",nae2Oochae,"Employees,HR"
Camille,Kreps,"Lead Pentester",iraiH3Ahshi,"Employees,PenTest"
Daniel,Robinson,"Senior Pentester",eip7Roo5Dai,"Employees,PenTest"
Edith,Ross,"Junior Pentester",Ee5hai1eroup,"Employees,PenTest"
Levi,Carpenter,"Lead Mobile Pentester",uNgooQu4Ei,"Employees,PenTest,Mobile"
Mary,Meek,"Lead Forensic Analyst",sah7Iec2vei,"Employees,Forensics"
Michael,Saylor,"Forensic Analyst",Ua3jiliekoh,"Employees,Forensics"
Beatrice,Daley,"Senior Forensic Analyst",Xou1fozohve,"Employees,Forensics"
Julius,Bowman,"IT Lead",ahRin1de8,"Employees,Domain Admins"
Wendell,Maxon,"IT Administrator",Xoo5geu4joo,"Employees,Domain Admins"
Gary,Raber,"Lead Security Research",fai8chu6Voe,"Employees,RandD"
Merle,Battle,"Security Researcher",Reehoot3u,"Employees,RandD"
Earl,Thomas,"Software Developer",ek0oShae8hoo,"Employees,RandD,PenTest,Mobile"
Anna,Stevens,"Software Developer",Itaijoo6eru,"Employees,RandD,PenTest,Mobile"
Robert,Macklin,"Mobile Pentester",daeShei6ohn,"Employees,PenTest,Mobile"
